001,3fe93c,7fd278,bfbbb4,ffa4f0
005,3f8e2c,7f7768,bf60a4,ff49e0
009,3f331c,7f1c58,bf0594,feeed0
00d,3ed80c,7ec148,beaa84,fe93c0
011,3e7cfc,7e6638,be4f74,fe38b0
015,3e21ec,7e0b28,bdf464,fddda0
019,3dc6dc,7db018,bd9954,fd8290
01d,3d6bcc,7d5508,bd3e44,fd2780
021,3d10bc,7cf9f8,bce334,fccc70
025,3cb5ac,7c9ee8,bc8824,fc7160
029,3c5a9c,7c43d8,bc2d14,fc1650
02d,3bff8c,7be8c8,bbd204,fbbb40
031,3ba47c,7b8db8,bb76f4,fb6030
035,3b496c,7b32a8,bb1be4,fb0520
039,3aee5c,7ad798,bac0d4,faaa10
03d,3a934c,7a7c88,ba65c4,fa4f00
041,3a383c,7a2178,ba0ab4,f9f3f0
045,39dd2c,79c668,b9afa4,f998e0
049,39821c,796b58,b95494,f93dd0
04d,39270c,791048,b8f984,f8e2c0
051,38cbfc,78b538,b89e74,f887b0
055,3870ec,785a28,b84364,f82ca0
059,3815dc,77ff18,b7e854,f7d190
05d,37bacc,77a408,b78d44,f77680
061,375fbc,7748f8,b73234,f71b70
065,3704ac,76ede8,b6d724,f6c060
069,36a99c,7692d8,b67c14,f66550
06d,364e8c,7637c8,b62104,f60a40
071,35f37c,75dcb8,b5c5f4,f5af30
075,35986c,7581a8,b56ae4,f55420
079,353d5c,752698,b50fd4,f4f910
07d,34e24c,74cb88,b4b4c4,f49e00
081,34873c,747078,b459b4,f442f0
085,342c2c,741568,b3fea4,f3e7e0
089,33d11c,73ba58,b3a394,f38cd0
08d,33760c,735f48,b34884,f331c0
091,331afc,730438,b2ed74,f2d6b0
095,32bfec,72a928,b29264,f27ba0
099,3264dc,724e18,b23754,f22090
09d,3209cc,71f308,b1dc44,f1c580
0a1,31aebc,7197f8,b18134,f16a70
0a5,3153ac,713ce8,b12624,f10f60
0a9,30f89c,70e1d8,b0cb14,f0b450
0ad,309d8c,7086c8,b07004,f05940
0b1,30427c,702bb8,b014f4,effe30
0b5,2fe76c,6fd0a8,afb9e4,efa320
0b9,2f8c5c,6f7598,af5ed4,ef4810
0bd,2f314c,6f1a88,af03c4,eeed00
0c1,2ed63c,6ebf78,aea8b4,ee91f0
0c5,2e7b2c,6e6468,ae4da4,ee36e0
0c9,2e201c,6e0958,adf294,eddbd0
0cd,2dc50c,6dae48,ad9784,ed80c0
0d1,2d69fc,6d5338,ad3c74,ed25b0
0d5,2d0eec,6cf828,ace164,eccaa0
0d9,2cb3dc,6c9d18,ac8654,ec6f90
0dd,2c58cc,6c4208,ac2b44,ec1480
